"EventName","URL","Date","Month","EventThisMonth"
"Census Data 101","https://events.iu.edu/live/events/845310-census-data-101","Monday, February 13, 2023"
"Ostrom Workshop | Beyond the Web: Sujith Nair, Co-CEO of the Beckn Protocol","https://events.iu.edu/live/events/806588-ostrom-workshop-beyond-the-web-sujith-nair-co-ceo","Monday, February 20, 2023"
"Digitizing Bronzeville: A Digital Project Examining Housing and Urban Community","https://events.iu.edu/live/events/811819-digitizing-bronzeville-a-digital-project-examining","Wednesday, February 22, 2023"
"Informatics Internship for Credit Information Session","https://events.iu.edu/siceiub/event/861401-informatics-internship-for-credit-information","Monday, February 27, 2023"
"O’Neill School GT-IDEA Round Table Event","https://events.iu.edu/live/events/834730-oneill-school-gt-idea-round-table-event","Wednesday, March 1, 2023"
"Collaborative Women’s Summit","https://events.iu.edu/live/events/861498-collaborative-womens-summit","Friday, March 3, 2023"
"Collaborative Women’s Summit","https://events.iu.edu/live/events/861498-collaborative-womens-summit","Saturday, March 4, 2023"
"Open Tape Clinic","https://events.iu.edu/live/events/864660-open-tape-clinic","Wednesday, March 8, 2023"
"Deadline: RTP Student Research Grant/Sustainability Research Development Grant","https://events.iu.edu/live/events/851809-deadline-rtp-student-research-grantsustainability","Friday, March 10, 2023"
"Collaboratively interpreting life experiences through textual and visual media: Reflections from digital humanities and health-related research","https://events.iu.edu/siceiub/event/866004-collaboratively-interpreting-life-experiences","Friday, March 10, 2023"
"#MakeClimateAClass","https://events.iu.edu/live/events/827218-makeclimateaclass","Wednesday, March 29, 2023"
"Luddy School GT-IDEA Round Table Event","https://events.iu.edu/live/events/834738-luddy-school-gt-idea-round-table-event","Wednesday, March 29, 2023"
"Open Education Week 2023 Showcase","https://events.iu.edu/live/events/845301-open-education-week-2023-showcase","Wednesday, April 5, 2023"
"Introduction to Genealogy Research","https://events.iu.edu/live/events/845316-introduction-to-genealogy-research","Thursday, April 6, 2023"
"Informatics Capstone Fair 2023","https://events.iu.edu/siceiub/event/825652-informatics-capstone-fair-2023","Thursday, April 20, 2023"
"Deadline: Faculty Sustainability Course Development Fellowship","https://events.iu.edu/live/events/851828-deadline-faculty-sustainability-course-development","Friday, April 21, 2023"
"Developing an Internet and Blockchain Emulator for Research and Education","https://events.iu.edu/siceiub/event/833079-developing-an-internet-and-blockchain-emulator-for","Friday, February 10, 2023"
"Curating Virality: Exploring Curated Logics Within #BlackLivesMatter on Twitter","https://events.iu.edu/siceiub/event/819823-curating-virality-exploring-curated-logics-within","Friday, February 10, 2023"
"Journey from IU to Grant Thornton","https://events.iu.edu/live/events/834586-journey-from-iu-to-grant-thornton","Wednesday, February 8, 2023"
"From Plants to Glaciers: Mapping and Photographing Russian Imperial Borderlands","https://events.iu.edu/live/events/811818-from-plants-to-glaciers-mapping-and-photographing","Wednesday, February 8, 2023"
"Ostrom Workshop | Colloquium: Jessica Steinberg","https://events.iu.edu/live/events/780937-ostrom-workshop-colloquium-jessica-steinberg","Monday, February 6, 2023"
"Tool Design as Digital Humanities Research","https://events.iu.edu/live/events/811817-tool-design-as-digital-humanities-research","Wednesday, February 1, 2023"
"Enhancing Mobile App Security via Contextual Integrity and User Awareness","https://events.iu.edu/siceiub/event/825788-enhancing-mobile-app-security-via-contextual","Friday, January 27, 2023"
"CBLS Networking Reception with Area Life Sciences Companies","https://events.iu.edu/live/events/793358-cbls-networking-reception-with-area-life-sciences","Thursday, January 26, 2023"
"Graphicon evolution in Chinese social media: Trends and impacts","https://events.iu.edu/siceiub/event/809330-graphicon-evolution-in-chinese-social-media-trends","Friday, January 20, 2023"
"2023 McKinney Climate Fellows: Student Application Due","https://events.iu.edu/live/events/817186-2023-mckinney-climate-fellows-student-application","Friday, January 13, 2023"
